date,league,t1,t2,bet_type,bet_line,ROI,fair_odds,odds,House,url,status,telegram,resultado,profit
2 Jun 2025 17:00,CD,RED Academy,Vivo Keyd Stars Academy,over,total_kills 29.5,22.87%,1.49,1.83,BET365,url não disponível,loss,1,0,0.0
31 Mai 2025 06:00,NLC,Los Ratones,The Ruddy Sack,over,game_duration 30.5,16.92%,1.57,1.83,BET365,url não disponível,loss,1,0,0.0
31 Mai 2025 06:00,NLC,Los Ratones,The Ruddy Sack,over,total_barons 1.5,12.85%,2.88,3.25,BET365,url não disponível,loss,1,0,0.0
31 Mai 2025 06:00,NLC,Los Ratones,The Ruddy Sack,over,total_inhibitors 1.5,12.30%,1.4,1.57,BET365,url não disponível,win,1,0,0.0
30 Mai 2025 12:00,TCL,Misa Esports,BoostGate Esports,under,total_inhibitors 1.5,17.89%,1.7,2.0,BET365,url não disponível,win,1,0,0.0
30 Mai 2025 12:00,TCL,Misa Esports,BoostGate Esports,under,total_dragons 4.5,12.74%,1.86,2.1,BET365,url não disponível,loss,1,0,0.0
31 Mai 2025 13:00,LTA S,LOUD,Isurus Estral,under,total_inhibitors 1.5,11.73%,1.49,1.66,BET365,url não disponível,win,1,0,0.0
30 Mai 2025 12:00,TCL,Misa Esports,BoostGate Esports,over,total_kills 36.5,11.41%,1.64,1.83,BET365,url não disponível,win,1,0,0.0
30 Mai 2025 07:00,LCK,Dplus KIA,DN Freecs,under,total_inhibitors 1.5,28.10%,1.43,1.83,BET365,url não disponível,loss,1,0,0.0
31 Mai 2025 03:00,LCK,KT Rolster,DRX,under,total_inhibitors 1.5,23.53%,1.48,1.83,BET365,url não disponível,win,1,0,0.0
31 Mai 2025 17:00,LTA N,Team Liquid,Dignitas,over,total_dragons 4.5,32.90%,1.69,2.25,BET365,url não disponível,loss,1,0,0.0
31 Mai 2025 17:00,LTA N,Team Liquid,Dignitas,over,total_barons 1.5,22.39%,4.49,5.5,BET365,url não disponível,loss,1,0,0.0
1 Jun 2025 05:00,LCK,Dplus KIA,Nongshim RedForce,under,game_duration 33.5,32.67%,1.38,1.83,BET365,url não disponível,win,1,0,0.0
1 Jun 2025 05:00,LCK,Dplus KIA,Nongshim RedForce,under,total_towers 11.5,10.00%,1.82,2.0,BET365,url não disponível,win,1,0,0.0
1 Jun 2025 12:00,LEC,Karmine Corp,Team Heretics,over,total_barons 1.5,11.18%,3.6,4.0,BET365,url não disponível,loss,1,0,0.0
1 Jun 2025 12:00,LEC,Karmine Corp,Team Heretics,over,total_inhibitors 1.5,10.47%,1.38,1.53,BET365,url não disponível,win,1,0,0.0
1 Jun 2025 13:00,LTA S,Vivo Keyd Stars,RED Canids,under,game_duration 33.5,22.00%,1.5,1.83,BET365,url não disponível,win,1,0,0.0
8 Jun 2025 13:00,LTA S,paiN Gaming,FURIA,under,total_towers 12.5,12.11%,1.4,1.57,BET365,url não disponível,loss,1,0,0.0
31 Mai 2025 17:00,LTA N,Team Liquid,Dignitas,over,game_duration 31.5,22.17%,1.5,1.83,BET365,url não disponível,loss,1,0,0.0
31 Mai 2025 17:00,LTA N,Team Liquid,Dignitas,over,total_towers 11.5,11.68%,1.34,1.5,BET365,url não disponível,loss,1,0,0.0
31 Mai 2025 03:00,LPL,Top Esports,FunPlus Phoenix,under,total_kills 32.5,18.95%,1.54,1.83,BET365,url não disponível,win,1,0,0.0
31 Mai 2025 03:00,LPL,Top Esports,FunPlus Phoenix,over,total_barons 1.5,10.50%,3.08,3.4,BET365,url não disponível,loss,1,0,0.0
1 Jun 2025 03:00,LPL,Anyone's Legend,Team WE,over,total_inhibitors 1.5,12.50%,1.6,1.8,BET365,url não disponível,win,1,0,0.0
29 Mai 2025 13:00,PRM,Kaufland Hangry Knights,ROSSMANN Centaurs,under,game_duration 31.5,18.95%,1.54,1.83,BET365,url não disponível,win,1,0,0.0
30 Mai 2025 02:00,LCKC,DN Freecs Challengers,OKSavingsBank BRION Challengers,under,game_duration 34.5,14.38%,1.6,1.83,BET365,url não disponível,loss,1,0,0.0
30 Mai 2025 13:00,PRM,CGN Esports,Berlin International Gaming,over,total_towers 12.5,22.50%,1.71,2.1,BET365,url não disponível,loss,1,0,0.0
31 Mai 2025 12:00,LEC,Fnatic,GiantX,under,total_towers 12.5,27.13%,1.49,1.9,BET365,url não disponível,win,1,0,0.0
31 Mai 2025 12:00,LEC,Fnatic,GiantX,under,game_duration 33.5,22.11%,1.5,1.83,BET365,url não disponível,loss,1,0,0.0
22 Mai 2025 13:00,LFL,Karmine Corp Blue,Gentle Mates,over,total_dragons 4.5,10.82%,1.42,1.57,BET365,url não disponível,loss,0,0,-1.0
22 Mai 2025 15:00,LPLOL,For The Win Esports,Odivelas Sports Club,under,total_kills 36.5,12.30%,1.63,1.83,BET365,url não disponível,win,0,0,0.83
22 Mai 2025 13:00,NLC,Los Ratones,Verdant,over,total_inhibitors 1.5,12.64%,1.47,1.66,BET365,url não disponível,win,0,0,0.66
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,total_kills 25.5,16.54%,1.57,1.83,BET365,url não disponível,win,0,0,0.83
23 Mai 2025 05:00,LCK,Gen.G,DRX,under,total_inhibitors 1.5,15.33%,1.44,1.66,BET365,url não disponível,win,0,0,0.66
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,total_barons 1.5,62.11%,4.94,8.0,BET365,url não disponível,loss,0,0,-1.0
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_dragons 4.5,37.55%,1.9,2.62,BET365,url não disponível,loss,0,0,-1.0
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,game_duration 33.5,37.25%,1.33,1.83,BET365,url não disponível,loss,0,0,-1.0
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_barons 1.5,26.22%,1.21,1.53,BET365,url não disponível,win,0,0,0.53
23 Mai 2025 09:00,LCP,Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster,over,total_inhibitors 1.5,12.71%,1.53,1.72,BET365,url não disponível,win,0,0,0.72
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_towers 11.5,23.70%,1.27,1.57,BET365,url não disponível,win,0,0,0.57
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_kills 24.5,26.16%,1.45,1.83,BET365,url não disponível,loss,0,0,-1.0
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_inhibitors 1.5,12.71%,1.53,1.72,BET365,url não disponível,win,0,0,0.72
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_barons 1.5,11.00%,1.0,1.11,BET365,url não disponível,win,0,0,0.11
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,under,total_inhibitors 1.5,14.00%,1.67,1.9,BET365,url não disponível,win,0,0,0.9
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,over,total_towers 11.5,11.16%,2.02,2.25,BET365,url não disponível,loss,0,0,-1.0
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,under,total_kills 27.5,22.00%,1.5,1.83,BET365,url não disponível,win,0,0,0.83
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,over,game_duration 30.5,15.46%,1.58,1.83,BET365,url não disponível,loss,0,0,-1.0
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_dragons 4.5,20.00%,1.75,2.1,BET365,url não disponível,loss,0,0,-1.0
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_inhibitors 1.5,22.14%,1.56,1.9,BET365,url não disponível,win,0,0,0.9
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,over,total_barons 1.5,14.29%,3.5,4.0,BET365,url não disponível,loss,0,0,-1.0
25 Mai 2025 03:00,LCK,OKSavingsBank BRION,Nongshim RedForce,under,game_duration 31.5,14.38%,1.6,1.83,BET365,url não disponível,loss,0,0,-1.0
25 Mai 2025 03:00,LCK,OKSavingsBank BRION,Nongshim RedForce,under,total_inhibitors 1.5,15.00%,1.74,2.0,BET365,url não disponível,loss,0,0,-1.0
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_dragons 4.5,24.43%,1.9,2.37,BET365,url não disponível,win,0,0,1.37
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_towers 12.5,49.88%,1.47,2.2,BET365,url não disponível,win,0,0,1.2
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_kills 27.5,18.95%,1.54,1.83,BET365,url não disponível,loss,0,0,-1.0
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,game_duration 33.5,29.24%,1.42,1.83,BET365,url não disponível,loss,0,0,-1.0
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_barons 1.5,18.87%,1.12,1.33,BET365,url não disponível,win,0,0,0.33
